server_timestamp,ai_model,device,frame_id,image_size_bytes,width,height,num_faces,server_inference_ms,client_capture_ms,client_encode_ms,fps_est,detections,annotated_file
20260614_003212_363518,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,1,28999,640,360,5,56.09,2.35,18.58,0.0,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 58, 'h': 76, 'score': 0.928}, {'id': 2, 'type': 'face', 'x': 211, 'y': 13, 'w': 53, 'h': 65, 'score': 0.915}, {'id': 3, 'type': 'face', 'x': 330, 'y': 44, 'w': 62, 'h': 73, 'score': 0.913}, {'id': 4, 'type': 'face', 'x': 105, 'y': 2, 'w': 55, 'h': 52, 'score': 0.905}, {'id': 5, 'type': 'face', 'x': 82, 'y': 86, 'w': 58, 'h': 70, 'score': 0.895}]",stream_annotated\annotated_yunet_20260614_003212_363518_f1.jpg
20260614_003212_457501,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,2,28977,640,360,5,26.29,2.71,3.05,12.28,"[{'id': 1, 'type': 'face', 'x': 226, 'y': 108, 'w': 60, 'h': 76, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 330, 'y': 45, 'w': 61, 'h': 71, 'score': 0.916}, {'id': 3, 'type': 'face', 'x': 212, 'y': 14, 'w': 53, 'h': 66, 'score': 0.914}, {'id': 4, 'type': 'face', 'x': 105, 'y': 2, 'w': 56, 'h': 52, 'score': 0.905}, {'id': 5, 'type': 'face', 'x': 82, 'y': 85, 'w': 58, 'h': 69, 'score': 0.896}]",stream_annotated\annotated_yunet_20260614_003212_457501_f2.jpg
20260614_003212_659532,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,3,28991,640,360,5,27.2,2.46,3.02,4.93,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 58, 'h': 76, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 211, 'y': 13, 'w': 54, 'h': 66, 'score': 0.916}, {'id': 3, 'type': 'face', 'x': 330, 'y': 44, 'w': 61, 'h': 72, 'score': 0.916}, {'id': 4, 'type': 'face', 'x': 107, 'y': 0, 'w': 58, 'h': 55, 'score': 0.906}, {'id': 5, 'type': 'face', 'x': 82, 'y': 85, 'w': 58, 'h': 70, 'score': 0.894}]",stream_annotated\annotated_yunet_20260614_003212_659532_f3.jpg
20260614_003212_862955,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,4,29035,640,360,5,24.86,2.37,2.93,4.87,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 57, 'h': 76, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 211, 'y': 14, 'w': 53, 'h': 65, 'score': 0.915}, {'id': 3, 'type': 'face', 'x': 330, 'y': 45, 'w': 62, 'h': 72, 'score': 0.914}, {'id': 4, 'type': 'face', 'x': 106, 'y': 2, 'w': 55, 'h': 52, 'score': 0.908}, {'id': 5, 'type': 'face', 'x': 82, 'y': 85, 'w': 59, 'h': 70, 'score': 0.895}]",stream_annotated\annotated_yunet_20260614_003212_862955_f4.jpg
20260614_003213_061621,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,5,29063,640,360,5,24.82,1.93,2.96,5.1,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 58, 'h': 75, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 330, 'y': 45, 'w': 61, 'h': 72, 'score': 0.919}, {'id': 3, 'type': 'face', 'x': 211, 'y': 14, 'w': 53, 'h': 66, 'score': 0.914}, {'id': 4, 'type': 'face', 'x': 106, 'y': 0, 'w': 58, 'h': 55, 'score': 0.903}, {'id': 5, 'type': 'face', 'x': 82, 'y': 86, 'w': 58, 'h': 69, 'score': 0.893}]",stream_annotated\annotated_yunet_20260614_003213_061621_f5.jpg
20260614_003213_265807,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,6,28999,640,360,5,33.81,1.89,2.97,4.85,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 109, 'w': 57, 'h': 76, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 330, 'y': 45, 'w': 61, 'h': 72, 'score': 0.916}, {'id': 3, 'type': 'face', 'x': 211, 'y': 13, 'w': 53, 'h': 66, 'score': 0.914}, {'id': 4, 'type': 'face', 'x': 106, 'y': 0, 'w': 58, 'h': 55, 'score': 0.905}, {'id': 5, 'type': 'face', 'x': 82, 'y': 86, 'w': 59, 'h': 69, 'score': 0.894}]",stream_annotated\annotated_yunet_20260614_003213_265807_f6.jpg
20260614_003213_485496,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,7,29015,640,360,5,56.14,1.72,2.99,4.55,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 57, 'h': 76, 'score': 0.928}, {'id': 2, 'type': 'face', 'x': 330, 'y': 45, 'w': 61, 'h': 72, 'score': 0.918}, {'id': 3, 'type': 'face', 'x': 211, 'y': 14, 'w': 54, 'h': 65, 'score': 0.915}, {'id': 4, 'type': 'face', 'x': 106, 'y': 3, 'w': 55, 'h': 52, 'score': 0.909}, {'id': 5, 'type': 'face', 'x': 81, 'y': 85, 'w': 59, 'h': 70, 'score': 0.895}]",stream_annotated\annotated_yunet_20260614_003213_485496_f7.jpg
20260614_003213_667992,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,8,29017,640,360,5,26.04,1.49,3.09,5.46,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 58, 'h': 76, 'score': 0.929}, {'id': 2, 'type': 'face', 'x': 211, 'y': 14, 'w': 54, 'h': 65, 'score': 0.915}, {'id': 3, 'type': 'face', 'x': 330, 'y': 44, 'w': 62, 'h': 72, 'score': 0.913}, {'id': 4, 'type': 'face', 'x': 107, 'y': 0, 'w': 57, 'h': 54, 'score': 0.909}, {'id': 5, 'type': 'face', 'x': 82, 'y': 86, 'w': 58, 'h': 70, 'score': 0.897}]",stream_annotated\annotated_yunet_20260614_003213_667992_f8.jpg
20260614_003213_866687,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,9,29080,640,360,5,43.46,1.46,3.0,4.53,"[{'id': 1, 'type': 'face', 'x': 227, 'y': 110, 'w': 57, 'h': 76, 'score': 0.927}, {'id': 2, 'type': 'face', 'x': 330, 'y': 44, 'w': 62, 'h': 72, 'score': 0.916}, {'id': 3, 'type': 'face', 'x': 212, 'y': 14, 'w': 53, 'h': 65, 'score': 0.913}, {'id': 4, 'type': 'face', 'x': 106, 'y': -1, 'w': 57, 'h': 55, 'score': 0.905}, {'id': 5, 'type': 'face', 'x': 82, 'y': 85, 'w': 58, 'h': 69, 'score': 0.893}]",stream_annotated\annotated_yunet_20260614_003213_866687_f9.jpg
20260614_003214_051872,OpenCV YuNet ONNX neural face detector,raspberry_pi_4b_picamera2,10,29049,640,360,5,23.29,1.44,2.98,6.16,"[{'id': 1, 'type': 'face', 'x': 226, 'y': 109, 'w': 58, 'h': 77, 'score': 0.929}, {'id': 2, 'type': 'face', 'x': 330, 'y': 45, 'w': 61, 'h': 72, 'score': 0.918}, {'id': 3, 'type': 'face', 'x': 212, 'y': 14, 'w': 53, 'h': 65, 'score': 0.913}, {'id': 4, 'type': 'face', 'x': 107, 'y': 0, 'w': 58, 'h': 55, 'score': 0.903}, {'id': 5, 'type': 'face', 'x': 82, 'y': 86, 'w': 58, 'h': 69, 'score': 0.898}]",stream_annotated\annotated_yunet_20260614_003214_051872_f10.jpg
